# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.1000000000E+00     0.1446540881E+02     0.3154829137E+03     0.3000027290E+03
  0.1000000000E+00     0.1509433962E+02     0.3154407024E+03     0.3000027212E+03
  0.1000000000E+00     0.1572327044E+02     0.3153974731E+03     0.3000027133E+03
  0.1000000000E+00     0.1635220126E+02     0.3153532738E+03     0.3000027052E+03
  0.1000000000E+00     0.1698113208E+02     0.3153081506E+03     0.3000026969E+03
  0.1000000000E+00     0.1761006289E+02     0.3152621485E+03     0.3000026885E+03
  0.1000000000E+00     0.1823899371E+02     0.3152153104E+03     0.3000026799E+03
  0.1000000000E+00     0.1886792453E+02     0.3151676782E+03     0.3000026712E+03
  0.1000000000E+00     0.1949685535E+02     0.3151192922E+03     0.3000026623E+03
  0.1000000000E+00     0.2012578616E+02     0.3150701911E+03     0.3000026534E+03
  0.1000000000E+00     0.2075471698E+02     0.3150204125E+03     0.3000026443E+03
  0.1000000000E+00     0.2138364780E+02     0.3149699927E+03     0.3000026351E+03
  0.1000000000E+00     0.2201257862E+02     0.3149189667E+03     0.3000026258E+03
  0.1000000000E+00     0.2264150943E+02     0.3148673683E+03     0.3000026163E+03
  0.1000000000E+00     0.2327044025E+02     0.3148152301E+03     0.3000026068E+03
  0.1000000000E+00     0.2389937107E+02     0.3147625838E+03     0.3000025972E+03
  0.1000000000E+00     0.2452830189E+02     0.3147094596E+03     0.3000025876E+03
  0.1000000000E+00     0.2515723270E+02     0.3146558871E+03     0.3000025778E+03
  0.1000000000E+00     0.2578616352E+02     0.3146018947E+03     0.3000025680E+03
  0.1000000000E+00     0.2641509434E+02     0.3145475098E+03     0.3000025581E+03
  0.1000000000E+00     0.2704402516E+02     0.3144927589E+03     0.3000025481E+03
  0.1000000000E+00     0.2767295597E+02     0.3144376677E+03     0.3000025381E+03
  0.1000000000E+00     0.2830188679E+02     0.3143822609E+03     0.3000025281E+03
  0.1000000000E+00     0.2893081761E+02     0.3143265624E+03     0.3000025179E+03
  0.1000000000E+00     0.2955974843E+02     0.3142705953E+03     0.3000025078E+03
  0.1000000000E+00     0.3018867925E+02     0.3142143821E+03     0.3000024976E+03
  0.1000000000E+00     0.3081761006E+02     0.3141579442E+03     0.3000024874E+03
  0.1000000000E+00     0.3144654088E+02     0.3141013026E+03     0.3000024771E+03
  0.1000000000E+00     0.3207547170E+02     0.3140444775E+03     0.3000024668E+03
  0.1000000000E+00     0.3270440252E+02     0.3139874885E+03     0.3000024565E+03
  0.1000000000E+00     0.3333333333E+02     0.3139303543E+03     0.3000024461E+03
  0.1000000000E+00     0.3396226415E+02     0.3138730934E+03     0.3000024358E+03
  0.1000000000E+00     0.3459119497E+02     0.3138157233E+03     0.3000024254E+03
  0.1000000000E+00     0.3522012579E+02     0.3137582613E+03     0.3000024150E+03
  0.1000000000E+00     0.3584905660E+02     0.3137007239E+03     0.3000024046E+03
  0.1000000000E+00     0.3647798742E+02     0.3136431272E+03     0.3000023942E+03
  0.1000000000E+00     0.3710691824E+02     0.3135854867E+03     0.3000023838E+03
  0.1000000000E+00     0.3773584906E+02     0.3135278177E+03     0.3000023733E+03
  0.1000000000E+00     0.3836477987E+02     0.3134701346E+03     0.3000023629E+03
  0.1000000000E+00     0.3899371069E+02     0.3134124516E+03     0.3000023525E+03
  0.1000000000E+00     0.3962264151E+02     0.3133547827E+03     0.3000023421E+03
  0.1000000000E+00     0.4025157233E+02     0.3132971411E+03     0.3000023317E+03
  0.1000000000E+00     0.4088050314E+02     0.3132395398E+03     0.3000023213E+03
  0.1000000000E+00     0.4150943396E+02     0.3131819914E+03     0.3000023110E+03
  0.1000000000E+00     0.4213836478E+02     0.3131245083E+03     0.3000023006E+03
  0.1000000000E+00     0.4276729560E+02     0.3130671025E+03     0.3000022903E+03
  0.1000000000E+00     0.4339622642E+02     0.3130097854E+03     0.3000022799E+03
  0.1000000000E+00     0.4402515723E+02     0.3129525685E+03     0.3000022696E+03
  0.1000000000E+00     0.4465408805E+02     0.3128954629E+03     0.3000022593E+03
  0.1000000000E+00     0.4528301887E+02     0.3128384792E+03     0.3000022491E+03
  0.1000000000E+00     0.4591194969E+02     0.3127816282E+03     0.3000022389E+03
  0.1000000000E+00     0.4654088050E+02     0.3127249200E+03     0.3000022287E+03
  0.1000000000E+00     0.4716981132E+02     0.3126683648E+03     0.3000022185E+03
  0.1000000000E+00     0.4779874214E+02     0.3126119724E+03     0.3000022083E+03
  0.1000000000E+00     0.4842767296E+02     0.3125557525E+03     0.3000021982E+03
  0.1000000000E+00     0.4905660377E+02     0.3124997146E+03     0.3000021882E+03
  0.1000000000E+00     0.4968553459E+02     0.3124438680E+03     0.3000021781E+03
  0.1000000000E+00     0.5031446541E+02     0.3123882220E+03     0.3000021681E+03
  0.1000000000E+00     0.5094339623E+02     0.3123327856E+03     0.3000021582E+03
  0.1000000000E+00     0.5157232704E+02     0.3122775676E+03     0.3000021483E+03
  0.1000000000E+00     0.5220125786E+02     0.3122225770E+03     0.3000021384E+03
  0.1000000000E+00     0.5283018868E+02     0.3121678223E+03     0.3000021285E+03
  0.1000000000E+00     0.5345911950E+02     0.3121133122E+03     0.3000021188E+03
  0.1000000000E+00     0.5408805031E+02     0.3120590553E+03     0.3000021090E+03
  0.1000000000E+00     0.5471698113E+02     0.3120050599E+03     0.3000020993E+03
  0.1000000000E+00     0.5534591195E+02     0.3119513346E+03     0.3000020897E+03
  0.1000000000E+00     0.5597484277E+02     0.3118978877E+03     0.3000020801E+03
  0.1000000000E+00     0.5660377358E+02     0.3118447275E+03     0.3000020706E+03
  0.1000000000E+00     0.5723270440E+02     0.3117918624E+03     0.3000020611E+03
  0.1000000000E+00     0.5786163522E+02     0.3117393008E+03     0.3000020516E+03
  0.1000000000E+00     0.5849056604E+02     0.3116870509E+03     0.3000020423E+03
  0.1000000000E+00     0.5911949686E+02     0.3116351212E+03     0.3000020330E+03
